shuffle_id,status,max_real_part,min_kappa_in,min_kappa_out
111,stable,-1.000000000000000,-1.319457025918382,-1.390654363873182
112,stable,-1.000000000000000,-1.995265571531490,-1.681075687039993
113,stable,-1.000000000000000,-1.361939677590271,-1.218335844838293
114,stable,-1.000000000000000,-2.183283815818868,-1.597677021462005
115,stable,-1.000000000000000,-1.680379167621140,-1.740778892592061
116,stable,-1.000000000000000,-1.495971974647546,-1.653208426050696
117,stable,-1.000000000000000,-1.848949904700930,-1.479050587280653
118,stable,-1.000000000000000,-1.406547920235653,-1.602814356549061
119,stable,-1.000000000000000,-2.606710024243512,-1.454264159256127
120,stable,-1.000000000000000,-2.735446127542673,-1.498746948491316
121,stable,-1.000000000000000,-2.189867445351410,-1.751670447381912
122,stable,-1.000000000000000,-2.313167140617225,-1.732687701412942
123,stable,-1.000000000000000,-2.112954330368666,-1.584922344562074
124,stable,-1.000000000000000,-2.119419022075590,-1.395849320688285
125,stable,-1.000000000000000,-2.846805031651456,-1.402530912833754
126,stable,-1.000000000000000,-2.268336055935151,-1.533171848044731
127,stable,-1.000000000000000,-2.128405495039260,-1.452302965772105
128,stable,-1.000000000000000,-3.534341653734145,-1.379918126222037
129,stable,-1.000000000000000,-1.653328497073971,-1.728817603609059
130,stable,-1.000000000000000,-2.128578755589842,-1.633541268864064
131,stable,-1.000000000000000,-2.703164339240175,-1.494925094710197
132,stable,-1.000000000000000,-1.774309182629622,-1.495583229698241
133,stable,-1.000000000000000,-2.464174440967327,-1.818085047270870
134,stable,-1.000000000000000,-1.982647552784329,-2.389572478583432
135,stable,-1.000000000000000,-1.625743216922274,-1.512763540726155
136,stable,-1.000000000000000,-2.195852982957149,-1.649816612771247
137,stable,-1.000000000000000,-2.179000463056582,-1.320345444662962
138,stable,-1.000000000000000,-1.529113405881617,-1.529680223698961
139,stable,-1.000000000000000,-1.761091843072791,-1.457861120026791
140,stable,-1.000000000000000,-2.120194692944779,-1.860862187575549
141,stable,-1.000000000000000,-2.019789842650425,-1.264339963672683
142,stable,-1.000000000000000,-1.446600104173058,-1.802356359643227
143,stable,-1.000000000000000,-1.906628175376682,-1.515530594799202
144,stable,-1.000000000000000,-1.459941773224273,-1.697378476848826
145,stable,-1.000000000000000,-2.383490617832649,-1.516637773107504
146,stable,-1.000000000000000,-1.424694224426275,-1.168217105499934
147,stable,-1.000000000000000,-1.516709153947886,-1.255477134138346
148,stable,-1.000000000000000,-2.787403184978757,-2.104728998525388
149,stable,-1.000000000000000,-1.294327251496725,-1.449546654854203
150,stable,-1.000000000000000,-2.541263352693932,-1.300710146490019
151,stable,-1.000000000000000,-1.808263152525797,-1.841877501952695
152,stable,-1.000000000000000,-1.697395719687847,-1.677665570459794
153,stable,-1.000000000000000,-2.385917277846602,-1.397132579993922
154,stable,-1.000000000000000,-2.881028025713249,-1.536130084750766
155,stable,-1.000000000000000,-2.936124951804231,-1.227537853061222
156,stable,-1.000000000000000,-2.291808741262003,-1.431733632103715
157,stable,-1.000000000000000,-3.003248346710279,-1.530356535455212
158,stable,-1.000000000000000,-2.479067518806914,-1.524660071310336
159,stable,-1.000000000000000,-3.388572207884863,-1.627807104261592
160,stable,-1.000000000000000,-1.953961468889702,-1.477977329632267
161,stable,-1.000000000000000,-2.774276680243929,-1.249803695682203
162,stable,-1.000000000000000,-2.092872046448974,-1.379964582389221
163,stable,-1.000000000000000,-2.427281455080447,-1.382722309441306
164,stable,-1.000000000000000,-1.971381727649714,-2.102585770880069
165,stable,-1.000000000000000,-2.059286446499755,-1.501565547878272
166,stable,-1.000000000000000,-1.236170624848455,-1.334533538931282
167,stable,-1.000000000000000,-3.411873933073366,-1.256379980273778
168,stable,-1.000000000000000,-1.878913607082495,-1.533121502627182
169,stable,-1.000000000000000,-1.743613700446303,-1.549668055784423
170,stable,-1.000000000000000,-1.554902817471884,-1.128655997687019
171,stable,-1.000000000000000,-2.384546866436722,-1.498048430359631
172,stable,-1.000000000000000,-2.897988294544348,-1.267437525908463
173,stable,-1.000000000000000,-2.599169388296104,-1.407409567502327
174,stable,-1.000000000000000,-1.814087203177905,-1.686097130645066
175,stable,-1.000000000000000,-1.665470267393175,-1.603450043883640
176,stable,-1.000000000000000,-2.049641212051938,-1.693279774626717
177,stable,-1.000000000000000,-1.696651098685834,-1.484688505996019
178,stable,-1.000000000000000,-2.157673168047040,-1.303134267509449
179,stable,-1.000000000000000,-1.995838195151009,-1.718091917748097
180,stable,-1.000000000000000,-1.889482323560514,-1.471338298088085
181,stable,-1.000000000000000,-3.520507616238319,-1.425389177951729
182,stable,-1.000000000000000,-2.835017620338022,-1.582444657477026
183,stable,-1.000000000000000,-2.247882462035705,-1.818882134393789
184,stable,-1.000000000000000,-2.619992359739626,-1.505346399382688
185,stable,-1.000000000000000,-1.466745418954815,-1.414872712921351
186,stable,-1.000000000000000,-2.517252373539122,-1.644582599015848
187,stable,-1.000000000000000,-2.536755967958015,-1.328505966754165
188,stable,-1.000000000000000,-2.277177585772733,-1.749547345214523
189,stable,-1.000000000000000,-1.586667046969524,-1.654996552431840
190,stable,-1.000000000000000,-1.973398157781958,-1.490294510964304
191,stable,-1.000000000000000,-1.789773054579200,-1.204463634639978
192,stable,-1.000000000000000,-2.454614552989369,-1.314972839492839
193,stable,-1.000000000000000,-1.706318212738552,-1.522167370087118
194,stable,-1.000000000000000,-2.714031495532254,-1.527945812646067
195,stable,-1.000000000000000,-1.988233739508360,-2.028893397509819
196,stable,-1.000000000000000,-1.851790108674322,-1.288077534292825
197,stable,-1.000000000000000,-2.891100948040730,-1.329125122283585
198,stable,-1.000000000000000,-2.399552478740588,-1.550608536461368
199,stable,-1.000000000000000,-2.079990950446700,-1.444743483145430
200,stable,-1.000000000000000,-3.065587137280090,-1.345305034337798
201,stable,-1.000000000000000,-1.393573186436697,-1.270509879337624
202,stable,-1.000000000000000,-2.173591038983432,-1.947787912504282
203,stable,-1.000000000000000,-2.846315136470366,-1.534762463634252
204,stable,-1.000000000000000,-2.094802037703630,-1.325684606214054
205,stable,-1.000000000000000,-2.744710608087189,-1.198403340793448
206,stable,-1.000000000000000,-2.982333438422756,-1.817561131669208
207,stable,-1.000000000000000,-2.666180765300851,-1.296353790792637
208,stable,-1.000000000000000,-2.960035238546880,-1.782841533364262
209,stable,-1.000000000000000,-1.850089110565023,-1.300592535175383
210,stable,-1.000000000000000,-2.037866082622713,-1.612549352110364
211,stable,-1.000000000000000,-3.417369050792331,-1.665874550701119
212,stable,-1.000000000000000,-1.800037414604958,-1.415038740145974
213,stable,-1.000000000000000,-3.054661669127654,-1.367060230273637
214,stable,-1.000000000000000,-2.147310321102850,-1.769323318789247
215,stable,-1.000000000000000,-2.189302959166525,-1.369741740898462
216,stable,-1.000000000000000,-2.500729223884264,-1.442048755998258
217,stable,-1.000000000000000,-2.270666877244366,-1.685921477401280
218,stable,-1.000000000000000,-2.364730160617910,-1.567523157573305
219,stable,-1.000000000000000,-2.760846231769392,-1.542167353909463
220,stable,-1.000000000000000,-2.485963774815900,-1.448003078345209
